# Rig calib list with one line of data per calib:
#   RIG_ID, NUM_SENSORS, REF_SENSOR_TYPE, REF_SENSOR_ID, SENSORS[] as (SENSOR_TYPE, SENSOR_ID, HAS_POSE, [QW, QX, QY, QZ, TX, TY, TZ])
# Number of rigs: 150
1 1 CAMERA 1
6 1 CAMERA 6
7 1 CAMERA 7
8 1 CAMERA 8
9 1 CAMERA 9
10 1 CAMERA 10
11 1 CAMERA 11
12 1 CAMERA 12
13 1 CAMERA 13
14 1 CAMERA 14
15 1 CAMERA 15
16 1 CAMERA 16
17 1 CAMERA 17
18 1 CAMERA 18
19 1 CAMERA 19
20 1 CAMERA 20
21 1 CAMERA 21
22 1 CAMERA 22
23 1 CAMERA 23
24 1 CAMERA 24
25 1 CAMERA 25
26 1 CAMERA 26
27 1 CAMERA 27
28 1 CAMERA 28
29 1 CAMERA 29
30 1 CAMERA 30
31 1 CAMERA 31
32 1 CAMERA 32
33 1 CAMERA 33
34 1 CAMERA 34
35 1 CAMERA 35
36 1 CAMERA 36
37 1 CAMERA 37
38 1 CAMERA 38
39 1 CAMERA 39
40 1 CAMERA 40
41 1 CAMERA 41
42 1 CAMERA 42
43 1 CAMERA 43
44 1 CAMERA 44
45 1 CAMERA 45
46 1 CAMERA 46
47 1 CAMERA 47
48 1 CAMERA 48
49 1 CAMERA 49
50 1 CAMERA 50
51 1 CAMERA 51
52 1 CAMERA 52
53 1 CAMERA 53
54 1 CAMERA 54
55 1 CAMERA 55
56 1 CAMERA 56
57 1 CAMERA 57
58 1 CAMERA 58
59 1 CAMERA 59
60 1 CAMERA 60
61 1 CAMERA 61
62 1 CAMERA 62
63 1 CAMERA 63
64 1 CAMERA 64
65 1 CAMERA 65
66 1 CAMERA 66
67 1 CAMERA 67
70 1 CAMERA 70
84 1 CAMERA 84
85 1 CAMERA 85
86 1 CAMERA 86
87 1 CAMERA 87
88 1 CAMERA 88
89 1 CAMERA 89
93 1 CAMERA 93
96 1 CAMERA 96
98 1 CAMERA 98
100 1 CAMERA 100
101 1 CAMERA 101
102 1 CAMERA 102
103 1 CAMERA 103
104 1 CAMERA 104
105 1 CAMERA 105
106 1 CAMERA 106
107 1 CAMERA 107
108 1 CAMERA 108
109 1 CAMERA 109
110 1 CAMERA 110
111 1 CAMERA 111
112 1 CAMERA 112
113 1 CAMERA 113
114 1 CAMERA 114
115 1 CAMERA 115
116 1 CAMERA 116
117 1 CAMERA 117
414 1 CAMERA 414
415 1 CAMERA 415
416 1 CAMERA 416
417 1 CAMERA 417
418 1 CAMERA 418
419 1 CAMERA 419
420 1 CAMERA 420
421 1 CAMERA 421
422 1 CAMERA 422
423 1 CAMERA 423
424 1 CAMERA 424
425 1 CAMERA 425
426 1 CAMERA 426
427 1 CAMERA 427
428 1 CAMERA 428
429 1 CAMERA 429
430 1 CAMERA 430
431 1 CAMERA 431
432 1 CAMERA 432
433 1 CAMERA 433
434 1 CAMERA 434
435 1 CAMERA 435
436 1 CAMERA 436
437 1 CAMERA 437
438 1 CAMERA 438
439 1 CAMERA 439
440 1 CAMERA 440
441 1 CAMERA 441
442 1 CAMERA 442
443 1 CAMERA 443
444 1 CAMERA 444
445 1 CAMERA 445
446 1 CAMERA 446
447 1 CAMERA 447
448 1 CAMERA 448
449 1 CAMERA 449
450 1 CAMERA 450
451 1 CAMERA 451
452 1 CAMERA 452
453 1 CAMERA 453
454 1 CAMERA 454
455 1 CAMERA 455
456 1 CAMERA 456
457 1 CAMERA 457
458 1 CAMERA 458
459 1 CAMERA 459
460 1 CAMERA 460
461 1 CAMERA 461
462 1 CAMERA 462
463 1 CAMERA 463
464 1 CAMERA 464
465 1 CAMERA 465
466 1 CAMERA 466
467 1 CAMERA 467
468 1 CAMERA 468
469 1 CAMERA 469
470 1 CAMERA 470
471 1 CAMERA 471
472 1 CAMERA 472
